asset,rule,n,win%,mean%,median%,held_w,total%,MDD%,Sharpe_ann,PF,name,max_hold,trailing_pct,take_profit_pct,cut_1w_neg,cut_2w_thr,slope_exit
crypto,baseline_slope,31,45.16129032258064,27.985705913722807,-4.662699822380112,11.03225806451613,2675.9141998228406,-53.76302894333409,0.6816054307277656,4.574083402825855,baseline_slope,0,0.0,0.0,False,-999,True
crypto,hold_8w_slope,31,45.16129032258064,13.649878275279006,-0.9253886010362697,6.290322580645161,536.1028705751664,-51.71461714175588,0.584906224779248,2.7393536643224365,hold_8w_slope,8,0.0,0.0,False,-999,True
crypto,hold_8w_trail15,31,38.70967741935484,10.162011385401499,-10.52433079347349,6.161290322580645,25.447041214741816,-84.59779940747202,0.4070339531900424,1.8732862702481365,hold_8w_trail15,8,0.15,0.0,False,-999,False
crypto,hold_8w_trail20,31,41.935483870967744,8.450794229453813,-5.550799289520425,7.0,-26.317873206705233,-87.07391592991056,0.34197242238829817,1.6658093154858449,hold_8w_trail20,8,0.2,0.0,False,-999,False
crypto,hold_8w_trail15_cut1,31,35.483870967741936,14.876243788191529,-5.550799289520425,3.774193548387097,820.2100015844384,-41.418752095223724,0.632092017066467,3.220856301949799,hold_8w_trail15_cut1,8,0.15,0.0,True,-999,False
crypto,hold_13w_trail15_cut1,31,35.483870967741936,13.942012727598557,-5.550799289520425,4.161290322580645,859.4469375394517,-41.41875209522371,0.6937570963705074,3.08138608568176,hold_13w_trail15_cut1,13,0.15,0.0,True,-999,False
crypto,hold_8w_TP30_trail15,31,41.935483870967744,10.098976919660432,-5.550799289520425,5.290322580645161,122.89513166440886,-87.07058890763719,0.5287658182590075,1.893950249361543,hold_8w_TP30_trail15,8,0.15,0.3,False,-999,False
crypto,hold_8w_cut2_minus5,31,41.935483870967744,14.857733626184318,-2.6907438572870923,5.419354838709677,916.7834037120807,-50.036271664059754,0.6465106340775844,3.307137564844573,hold_8w_cut2_minus5,8,0.0,0.0,False,-5,True
kr,baseline_slope,114,32.45614035087719,2.625142964138824,-3.1160514760227795,8.236842105263158,182.502575088742,-71.93337975426142,0.5093932724463767,1.5654108743760624,baseline_slope,0,0.0,0.0,False,-999,True
kr,hold_26w_slope,114,32.45614035087719,3.017418277330638,-3.1160514760227795,8.035087719298245,290.4818360153665,-66.90914616015078,0.567693057359411,1.6499002644236966,hold_26w_slope,26,0.0,0.0,False,-999,True
kr,hold_52w_slope,114,32.45614035087719,2.625142964138824,-3.1160514760227795,8.236842105263158,182.502575088742,-71.93337975426142,0.5093932724463767,1.5654108743760624,hold_52w_slope,52,0.0,0.0,False,-999,True
kr,hold_52w_trail20,114,59.64912280701754,15.957208840420146,3.755588271182486,32.526315789473685,3381365.2615343533,-66.25030251063862,1.4972275609758656,3.954642215500913,hold_52w_trail20,52,0.2,0.0,False,-999,False
kr,hold_52w_trail15,114,55.26315789473685,12.139459674811743,4.957272565747295,25.79824561403509,286386.6910024861,-66.52394787734346,1.3632177840172237,3.2772016520502243,hold_52w_trail15,52,0.15,0.0,False,-999,False
kr,hold_52w_trail25,114,60.526315789473685,27.419137879062504,6.726222537207649,38.79824561403509,1813779530.100986,-71.81578896890096,1.6924357150240525,5.730710114985019,hold_52w_trail25,52,0.25,0.0,False,-999,False
kr,hold_26w_trail15,114,52.63157894736842,13.768346094938053,2.0541540327471135,18.912280701754387,1087663.171107382,-57.814727137863706,1.4543806123074317,3.5677315088343904,hold_26w_trail15,26,0.15,0.0,False,-999,False
kr,hold_52w_TP30_trail20,114,61.40350877192983,13.808433591687825,14.091260965607933,25.289473684210527,9538221.987922717,-63.792798647839845,2.304244421464993,3.6004933324722064,hold_52w_TP30_trail20,52,0.2,0.3,False,-999,False
us,baseline_slope,38,18.421052631578945,-5.8919621818140815,-6.980548829233824,6.2631578947368425,-91.14739739441686,-89.82321563265174,-1.989060714046866,0.16212113233077752,baseline_slope,0,0.0,0.0,False,-999,True
us,hold_26w_slope,38,18.421052631578945,-5.8919621818140815,-6.980548829233824,6.2631578947368425,-91.14739739441686,-89.82321563265174,-1.989060714046866,0.16212113233077752,hold_26w_slope,26,0.0,0.0,False,-999,True
us,hold_52w_slope,38,18.421052631578945,-5.8919621818140815,-6.980548829233824,6.2631578947368425,-91.14739739441686,-89.82321563265174,-1.989060714046866,0.16212113233077752,hold_52w_slope,52,0.0,0.0,False,-999,True
us,hold_52w_trail20,38,52.63157894736842,9.033785675090984,3.1552783226911463,31.13157894736842,810.7155263705906,-63.51860954838151,0.8122685092469906,2.5737965932651594,hold_52w_trail20,52,0.2,0.0,False,-999,False
us,hold_52w_trail15,38,50.0,2.344166797019377,-1.2248995341179736,23.57894736842105,55.6812299310828,-54.949776299168896,0.37742083412122396,1.4051861826264664,hold_52w_trail15,52,0.15,0.0,False,-999,False
us,hold_52w_trail25,38,52.63157894736842,12.40220738714421,3.1552783226911463,38.10526315789474,1047.0994591134618,-70.92901640738927,0.7293608907299621,2.679999140777748,hold_52w_trail25,52,0.25,0.0,False,-999,False
us,hold_26w_trail15,38,47.368421052631575,3.318556223251232,-3.2979663177174823,18.31578947368421,104.69566025293146,-47.20101754282873,0.4764716058839023,1.564747669730474,hold_26w_trail15,26,0.15,0.0,False,-999,False
us,hold_52w_TP30_trail20,38,52.63157894736842,12.07063993150106,16.61779615298097,24.68421052631579,2922.87538846678,-56.915568641204615,1.2547539648585038,3.102853962443097,hold_52w_TP30_trail20,52,0.2,0.3,False,-999,False
