asset,strategy,interval,score_th,rule,n,win%,mean%,median%,MDD%,Sharpe_ann,PF,held
crypto,quiet_bottom,1d,binary,hold_60d_trail20_TP30,3534,39.6,0.69,-6.13,-100.0,0.61,1.07,24.3
crypto,quiet_bottom,1w,binary,hold_13w_trail15_cut1w,68,20.6,3.13,-5.29,-87.2,0.27,1.4,3.6
crypto,quiet_bottom,4h,binary,hold_60bars_trail10,721,31.2,-2.2,-5.28,-100.0,-1.14,0.71,25.8
crypto,trend_chase,1d,60,hold_60d_trail20_TP30,305,57.4,10.67,6.13,-85.6,2.85,2.72,35.9
crypto,trend_chase,4h,60,hold_120bars_trail15_cut24h,11682,31.8,0.31,-5.57,-100.0,0.62,1.05,52.9
crypto,trend_pullback,1d,70,hold_60d_trail15_cut3d,11230,31.2,2.19,-7.09,-100.0,2.81,1.28,16.1
crypto,trend_pullback,1w,60,hold_8w_trail15,658,44.4,10.5,-4.31,-100.0,2.01,1.86,6.7
crypto,trend_pullback,4h,90,hold_60bars_trail10,14576,34.6,-0.12,-4.74,-100.0,-0.31,0.98,32.0
kr,quiet_bottom,1d,binary,hold_252d_trail20_TP30,76,43.4,4.08,-8.27,-99.6,0.54,1.4,58.1
kr,quiet_bottom,1w,binary,hold_52w_trail20_TP30,607,60.6,16.48,30.26,-98.5,5.7,3.68,20.1
kr,trend_chase,1d,60,hold_252d_trail20_TP30,4011,47.9,6.69,-1.59,-100.0,7.23,1.91,103.4
kr,trend_chase,1w,60,hold_52w_trail20_TP30,81,67.9,15.46,20.39,-59.7,2.42,4.8,35.1
kr,trend_pullback,1d,60,hold_252d_trail20_TP30,18143,49.8,8.63,-0.13,-100.0,18.4,2.25,71.2
kr,trend_pullback,1w,75,hold_52w_trail20_TP30,5550,54.3,10.51,6.32,-100.0,11.93,2.5,23.9
us,quiet_bottom,1d,binary,hold_252d_trail20_TP30,535,46.7,8.6,-2.3,-99.2,2.75,2.08,38.8
us,quiet_bottom,1w,binary,hold_52w_trail20_TP30,404,56.2,14.87,30.01,-98.3,4.01,3.1,18.0
us,trend_chase,1d,60,hold_252d_trail20_TP30,2202,48.7,6.73,-0.78,-97.4,5.74,2.01,106.0
us,trend_chase,1w,60,hold_52w_trail20_TP30,45,48.9,5.44,-0.41,-79.1,0.62,1.76,28.9
us,trend_pullback,1d,70,hold_252d_trail20_TP30,19038,51.3,8.65,1.53,-100.0,19.76,2.23,80.1
us,trend_pullback,1w,70,hold_52w_trail20_TP30,7683,51.2,6.97,1.22,-100.0,10.14,1.95,26.8
