asset,strategy,interval,score_th,rule,hold,trail_pct,take_profit_pct,n,win%,mean%,median%,held,total%,MDD%,Sharpe_ann,PF
us,trend_chase,1d,60,hold_180d_trail15_TP20,180,0.15,0.2,2204,48.3,4.16,-0.78,66.5,2.7131926211455363e+27,-95.6,4.67,1.76
us,trend_chase,1d,60,hold_180d_trail15_TP25,180,0.15,0.25,2204,47.5,4.71,-1.17,73.3,2.857376193041056e+30,-96.9,4.83,1.85
us,trend_chase,1d,60,hold_180d_trail15_TP30,180,0.15,0.3,2204,47.2,5.21,-1.28,77.9,2.4155280595033258e+33,-97.0,5.0,1.94
us,trend_chase,1d,60,hold_180d_trail15_TP35,180,0.15,0.35,2204,47.0,5.5,-1.32,81.9,3.6149225592869833e+34,-96.9,4.99,1.99
us,trend_chase,1d,60,hold_180d_trail18_TP20,180,0.18,0.2,2204,53.4,4.73,6.44,76.0,6.199945550072657e+30,-96.2,5.0,1.78
us,trend_chase,1d,60,hold_180d_trail18_TP25,180,0.18,0.25,2204,49.5,5.27,-0.28,84.3,2.1333418711173373e+33,-96.9,5.07,1.85
us,trend_chase,1d,60,hold_180d_trail18_TP30,180,0.18,0.3,2204,48.8,5.83,-0.74,89.8,2.8943272059672534e+36,-96.1,5.24,1.94
us,trend_chase,1d,60,hold_180d_trail18_TP35,180,0.18,0.35,2204,48.6,6.29,-0.79,94.5,6.329234119007524e+38,-97.0,5.32,2.01
us,trend_chase,1d,60,hold_180d_trail20_TP20,180,0.2,0.2,2204,56.7,5.02,12.01,81.9,2.2736769722621713e+32,-96.9,5.14,1.79
us,trend_chase,1d,60,hold_180d_trail20_TP25,180,0.2,0.25,2204,51.8,5.62,2.55,90.9,1.3386222504933825e+35,-96.1,5.22,1.86
us,trend_chase,1d,60,hold_180d_trail20_TP30,180,0.2,0.3,2204,50.0,6.24,0.08,97.0,3.515591010899411e+38,-96.3,5.41,1.95
us,trend_chase,1d,60,hold_180d_trail20_TP35,180,0.2,0.35,2204,49.7,6.73,-0.16,102.1,1.0647936985688775e+41,-97.0,5.49,2.02
us,trend_chase,1d,60,hold_180d_trail22_TP20,180,0.22,0.2,2204,58.8,5.04,14.94,85.9,2.036393947375499e+31,-98.1,5.01,1.76
us,trend_chase,1d,60,hold_180d_trail22_TP25,180,0.22,0.25,2204,54.3,5.67,5.01,95.5,1.708569315276953e+34,-97.7,5.12,1.82
us,trend_chase,1d,60,hold_180d_trail22_TP30,180,0.22,0.3,2204,51.7,6.29,2.01,102.0,3.483492240421789e+37,-97.8,5.3,1.9
us,trend_chase,1d,60,hold_180d_trail22_TP35,180,0.22,0.35,2204,51.0,6.83,1.1,107.3,2.2502031429265334e+40,-98.2,5.42,1.97
us,trend_chase,1d,60,hold_180d_trail25_TP20,180,0.25,0.2,2204,61.6,5.41,19.82,91.4,4.024181582830884e+33,-94.6,5.24,1.81
us,trend_chase,1d,60,hold_180d_trail25_TP25,180,0.25,0.25,2204,57.7,6.15,8.6,101.9,1.6398729015148167e+37,-98.4,5.4,1.87
us,trend_chase,1d,60,hold_180d_trail25_TP30,180,0.25,0.3,2204,55.3,6.8,5.29,109.0,4.64154820564516e+40,-98.3,5.58,1.94
us,trend_chase,1d,60,hold_180d_trail25_TP35,180,0.25,0.35,2204,53.8,7.39,3.73,114.6,6.136857037080264e+43,-97.6,5.71,2.02
us,trend_chase,1d,60,hold_252d_trail15_TP20,252,0.15,0.2,2204,48.1,4.4,-0.84,69.8,5.531619766767613e+29,-96.2,4.93,1.81
us,trend_chase,1d,60,hold_252d_trail15_TP25,252,0.15,0.25,2204,47.2,5.04,-1.24,77.2,2.0158939279937285e+33,-96.5,5.09,1.92
us,trend_chase,1d,60,hold_252d_trail15_TP30,252,0.15,0.3,2204,46.9,5.58,-1.29,82.5,2.536511938356207e+36,-97.0,5.26,2.02
us,trend_chase,1d,60,hold_252d_trail15_TP35,252,0.15,0.35,2204,46.7,5.91,-1.35,87.3,6.504846176271372e+37,-97.0,5.25,2.08
us,trend_chase,1d,60,hold_252d_trail18_TP20,252,0.18,0.2,2204,53.2,5.06,8.88,80.9,5.45090516167133e+33,-96.7,5.31,1.83
us,trend_chase,1d,60,hold_252d_trail18_TP25,252,0.18,0.25,2204,48.8,5.72,-0.83,90.6,9.548454057789583e+36,-97.0,5.39,1.92
us,trend_chase,1d,60,hold_252d_trail18_TP30,252,0.18,0.3,2204,48.0,6.34,-1.23,97.2,2.628429779014212e+40,-96.3,5.56,2.02
us,trend_chase,1d,60,hold_252d_trail18_TP35,252,0.18,0.35,2204,47.9,6.77,-1.34,103.4,1.9806155602448672e+42,-97.1,5.57,2.09
us,trend_chase,1d,60,hold_252d_trail20_TP20,252,0.2,0.2,2204,56.6,5.34,19.84,88.0,9.868008677293779e+34,-96.9,5.4,1.83
us,trend_chase,1d,60,hold_252d_trail20_TP25,252,0.2,0.25,2204,50.8,6.05,1.42,98.7,2.1992003352661833e+38,-97.6,5.49,1.91
us,trend_chase,1d,60,hold_252d_trail20_TP30,252,0.2,0.3,2204,48.5,6.74,-0.9,106.1,1.2034083478230813e+42,-97.4,5.67,2.0
us,trend_chase,1d,60,hold_252d_trail20_TP35,252,0.2,0.35,2204,48.1,7.21,-1.01,113.0,1.4340616125868454e+44,-97.4,5.69,2.07
us,trend_chase,1d,60,hold_252d_trail22_TP20,252,0.22,0.2,2204,58.7,5.37,19.89,93.2,8.889214639072584e+33,-98.6,5.25,1.79
us,trend_chase,1d,60,hold_252d_trail22_TP25,252,0.22,0.25,2204,53.6,6.16,6.76,104.8,7.511378853776301e+37,-98.1,5.41,1.87
us,trend_chase,1d,60,hold_252d_trail22_TP30,252,0.22,0.3,2204,50.0,6.8,-0.06,112.9,1.0471939699771837e+41,-98.4,5.55,1.94
us,trend_chase,1d,60,hold_252d_trail22_TP35,252,0.22,0.35,2204,49.0,7.35,-0.67,120.3,3.677607246402158e+43,-98.6,5.62,2.01
us,trend_chase,1d,60,hold_252d_trail25_TP20,252,0.25,0.2,2204,62.4,5.84,19.96,101.1,5.986813066135492e+36,-97.3,5.53,1.84
us,trend_chase,1d,60,hold_252d_trail25_TP25,252,0.25,0.25,2204,57.8,6.75,13.57,114.2,2.5768670726095437e+41,-99.2,5.73,1.92
us,trend_chase,1d,60,hold_252d_trail25_TP30,252,0.25,0.3,2204,54.4,7.41,6.38,123.3,2.8485459541390097e+44,-99.2,5.84,1.98
us,trend_chase,1d,60,hold_252d_trail25_TP35,252,0.25,0.35,2204,52.2,8.04,3.03,131.5,3.144347897877669e+47,-99.2,5.94,2.05
