asset,strategy,interval,window,Sharpe,start,end,start_px,end_px,ret%,max_dd%,regime
kr,trend_pullback,1d,W1,90.03,2020-05-01,2021-05-01,1895.37,3147.86,66.1,-7.8,bull
kr,trend_pullback,1d,W2,-24.59,2021-05-01,2022-05-01,3127.2,2695.05,-13.8,-20.9,bear
kr,trend_pullback,1d,W3,-0.32,2022-05-01,2023-05-01,2687.45,2501.53,-6.9,-19.8,sideways
kr,trend_pullback,1d,W4,0.89,2023-05-01,2024-05-01,2524.39,2692.06,6.6,-14.6,sideways
kr,trend_pullback,1d,W5,11.5,2024-05-01,2025-05-01,2683.65,2556.61,-4.7,-20.7,sideways
kr,trend_pullback,1d,W6,41.39,2025-05-01,2026-05-18,2559.79,7493.18,192.7,-19.9,bull
kr,trend_pullback,1w,W1,25.47,2020-05-01,2021-05-01,1895.37,3147.86,66.1,-7.8,bull
kr,trend_pullback,1w,W2,-17.7,2021-05-01,2022-05-01,3127.2,2695.05,-13.8,-20.9,bear
kr,trend_pullback,1w,W3,1.18,2022-05-01,2023-05-01,2687.45,2501.53,-6.9,-19.8,sideways
kr,trend_pullback,1w,W4,10.55,2023-05-01,2024-05-01,2524.39,2692.06,6.6,-14.6,sideways
kr,trend_pullback,1w,W5,27.75,2024-05-01,2025-05-01,2683.65,2556.61,-4.7,-20.7,sideways
kr,trend_pullback,1w,W6,27.6,2025-05-01,2026-05-18,2559.79,7493.18,192.7,-19.9,bull
kr,trend_chase,1d,W1,35.91,2020-05-01,2021-05-01,1895.37,3147.86,66.1,-7.8,bull
kr,trend_chase,1d,W2,-15.5,2021-05-01,2022-05-01,3127.2,2695.05,-13.8,-20.9,bear
kr,trend_chase,1d,W3,-0.57,2022-05-01,2023-05-01,2687.45,2501.53,-6.9,-19.8,sideways
kr,trend_chase,1d,W4,6.32,2023-05-01,2024-05-01,2524.39,2692.06,6.6,-14.6,sideways
kr,trend_chase,1d,W5,17.82,2024-05-01,2025-05-01,2683.65,2556.61,-4.7,-20.7,sideways
kr,trend_chase,1d,W6,11.26,2025-05-01,2026-05-18,2559.79,7493.18,192.7,-19.9,bull
us,trend_pullback,1d,W1,45.4,2020-05-01,2021-05-01,8604.95,13962.68,62.3,-11.8,bull
us,trend_pullback,1d,W2,-5.86,2021-05-01,2022-05-01,13895.12,12334.64,-11.2,-23.2,bear
us,trend_pullback,1d,W3,11.77,2022-05-01,2023-05-01,12536.02,12226.58,-2.5,-22.2,sideways
us,trend_pullback,1d,W4,18.31,2023-05-01,2024-05-01,12212.6,15657.82,28.2,-12.3,bull
us,trend_pullback,1d,W5,10.39,2024-05-01,2025-05-01,15605.48,17446.34,11.8,-24.3,bull
us,trend_pullback,1d,W6,31.45,2025-05-01,2026-05-18,17710.74,26225.14,48.1,-13.2,bull
us,trend_pullback,1w,W1,25.48,2020-05-01,2021-05-01,8604.95,13962.68,62.3,-11.8,bull
us,trend_pullback,1w,W2,-6.67,2021-05-01,2022-05-01,13895.12,12334.64,-11.2,-23.2,bear
us,trend_pullback,1w,W3,10.36,2022-05-01,2023-05-01,12536.02,12226.58,-2.5,-22.2,sideways
us,trend_pullback,1w,W4,16.19,2023-05-01,2024-05-01,12212.6,15657.82,28.2,-12.3,bull
us,trend_pullback,1w,W5,7.1,2024-05-01,2025-05-01,15605.48,17446.34,11.8,-24.3,bull
us,trend_pullback,1w,W6,12.94,2025-05-01,2026-05-18,17710.74,26225.14,48.1,-13.2,bull
us,trend_chase,1d,W1,11.86,2020-05-01,2021-05-01,8604.95,13962.68,62.3,-11.8,bull
us,trend_chase,1d,W2,-5.52,2021-05-01,2022-05-01,13895.12,12334.64,-11.2,-23.2,bear
us,trend_chase,1d,W3,5.01,2022-05-01,2023-05-01,12536.02,12226.58,-2.5,-22.2,sideways
us,trend_chase,1d,W4,10.99,2023-05-01,2024-05-01,12212.6,15657.82,28.2,-12.3,bull
us,trend_chase,1d,W5,7.94,2024-05-01,2025-05-01,15605.48,17446.34,11.8,-24.3,bull
us,trend_chase,1d,W6,5.27,2025-05-01,2026-05-18,17710.74,26225.14,48.1,-13.2,bull
