bucket,horizon_d,n,mean,median,win
1w (1-7d),3,397,0.0021690455673694636,-0.00039996000399955545,0.48614609571788414
1w (1-7d),7,397,0.0054120269756203635,-0.017762660619803583,0.42065491183879095
1w (1-7d),14,397,0.052575222532802494,0.024200913242009126,0.5919395465994962
1w (1-7d),28,397,0.04614609669996607,-0.013925421630821555,0.4357682619647355
1w (1-7d),56,397,0.09119153875913291,-0.10428593532415298,0.3224181360201511
2w (8-14d),3,85,0.02091740799732798,0.02375914394534795,0.6
2w (8-14d),7,85,0.02273314036621624,0.0,0.49411764705882355
2w (8-14d),14,85,0.020325480499031056,0.017955801104972302,0.5294117647058824
2w (8-14d),28,85,-0.011853892136304413,-0.031847133757961776,0.3764705882352941
2w (8-14d),56,85,-0.04908742836980776,-0.1378004369992717,0.23529411764705882
3w (15-21d),3,59,0.004217544651871908,-0.0016209097355891489,0.4576271186440678
3w (15-21d),7,59,0.02237909620103854,0.01279983874218904,0.5254237288135594
3w (15-21d),14,59,-0.0036601207821381466,0.004960835509138395,0.5254237288135594
3w (15-21d),28,59,-0.04035696702917993,-0.09765013054830285,0.3559322033898305
3w (15-21d),56,56,-0.09878611053845587,-0.1783516030124182,0.30357142857142855
4w (22-28d),3,85,0.022654083493806997,0.0,0.49411764705882355
4w (22-28d),7,85,0.016087520146330643,-0.006362472705368605,0.4588235294117647
4w (22-28d),14,85,0.07742655699935133,0.052893935198006226,0.6823529411764706
4w (22-28d),28,85,0.025625357204004065,-0.01537669217186588,0.4588235294117647
4w (22-28d),56,85,-0.14150378913358602,-0.2494756467024004,0.17647058823529413
5w (29-35d),3,43,0.02513325986859061,0.006357365075071009,0.6046511627906976
5w (29-35d),7,43,0.04794362378583977,0.018620518967500166,0.6744186046511628
5w (29-35d),14,43,0.0402510754397377,0.03188344594594583,0.6744186046511628
5w (29-35d),28,43,0.013165452828733234,-0.02301520270270263,0.3953488372093023
5w (29-35d),56,42,-0.05262229195683125,-0.09227068385762655,0.40476190476190477
6w (36-42d),3,60,0.006979030077450739,0.002713594327218516,0.5333333333333333
6w (36-42d),7,60,0.0013420813460233586,-0.009167031894009692,0.45
6w (36-42d),14,60,0.016078809737595897,0.03992973003475142,0.65
6w (36-42d),28,59,-0.0010121903531160265,-0.02588916969734334,0.3728813559322034
6w (36-42d),56,59,-0.13175978338331507,-0.2535037098103875,0.3050847457627119
7w (43-49d),3,34,0.04691346014967012,0.005011516146717243,0.5588235294117647
7w (43-49d),7,34,0.0342241111841686,0.010037312399314047,0.5588235294117647
7w (43-49d),14,34,0.05629319315844957,-0.035374877840960994,0.4117647058823529
7w (43-49d),28,34,-0.11434582799185943,-0.1435717277087859,0.14705882352941177
7w (43-49d),56,33,-0.32464829383354055,-0.31403249630723773,0.030303030303030304
8w (50-56d),3,31,0.03904824313065967,0.03798631675686703,0.6774193548387096
8w (50-56d),7,31,0.023639470444839723,0.009235255994815228,0.5806451612903226
8w (50-56d),14,31,0.003944241009807342,-0.009151921903599591,0.45161290322580644
8w (50-56d),28,31,0.026211294454223245,0.0464561671277306,0.5161290322580645
8w (50-56d),56,31,-0.041659521654917354,-0.09432461103253187,0.45161290322580644
9-12w (57-84d),3,94,0.0037346505015857564,-0.003807352019593424,0.4574468085106383
9-12w (57-84d),7,94,-0.038528757217481925,-0.03025798215688391,0.35106382978723405
9-12w (57-84d),14,94,-0.04442683041297945,-0.010311516335612558,0.4574468085106383
9-12w (57-84d),28,94,-0.13953875364898496,-0.14820600490457359,0.2127659574468085
9-12w (57-84d),56,94,-0.1106911571661247,-0.3340220552749486,0.19148936170212766
13-24w (85-168d),3,86,0.012261779545874766,0.00859393999057323,0.5348837209302325
13-24w (85-168d),7,86,0.025575612147356624,-0.002004796459410374,0.4883720930232558
13-24w (85-168d),14,86,-0.008000522752930315,-0.03577835657267542,0.32558139534883723
13-24w (85-168d),28,86,-0.07112720406535969,-0.10408940689724777,0.23255813953488372
13-24w (85-168d),56,86,-0.0282579743713523,-0.1451751860581234,0.27906976744186046
24w+ (169-365d),3,10,-0.024876618579614585,-0.036956923652855744,0.4
24w+ (169-365d),7,10,-0.027491517261737874,-0.028487210264314,0.5
24w+ (169-365d),14,10,-0.044878624517499834,-0.01962225657573652,0.5
24w+ (169-365d),28,10,-0.08724464241460332,-0.0983410771707463,0.4
24w+ (169-365d),56,10,-0.1711597693455681,-0.202764593521793,0.2
