body_ret_min,vol_ratio_min,horizon_h,n,mean,median,std,win,var_adj
0.01,1.0,4,24617,0.00019122298482270877,-0.0021943099273609157,0.04320778102852874,0.4565950359507657,-0.07110161571224971
0.01,1.0,12,24603,0.00019409281280286653,-0.0038058991436726863,0.06677341700156789,0.45709872779742305,-0.10998204523978415
0.01,1.0,24,24591,-0.0009572519965587142,-0.006952769120115221,0.08672487718848314,0.44691147167662965,-0.1440532993575559
0.01,1.0,72,24537,0.0022157197749180717,-0.011090159480967698,0.14157352730247066,0.4478950156905897,-0.2313806002741585
0.01,1.0,168,24250,0.008915360366274862,-0.02025400230141583,0.22754879998250382,0.4437938144329897,-0.3665401596048564
0.01,1.0,336,23501,0.029780694311898726,-0.03452527743526512,0.3451337674120701,0.4324922343730054,-0.539690021918017
0.01,1.0,672,22724,0.04004673063718488,-0.06479457899447233,0.5336003341202562,0.40666255940855484,-0.8403938206612378
0.01,2.0,4,17273,4.080634153305662e-05,-0.0026392187912377407,0.04788143706842521,0.45058762230070054,-0.07896356482136853
0.01,2.0,12,17264,0.0007257307982865246,-0.004016060302799052,0.07198438180617214,0.45580398517145504,-0.1180484991818975
0.01,2.0,24,17257,-0.0006734212785343394,-0.00799467021985345,0.09161254888849533,0.4386625717100307,-0.15183412694455165
0.01,2.0,72,17220,0.0018099411095935133,-0.01241089844950849,0.14636483150160656,0.44256678281068523,-0.2396920308680573
0.01,2.0,168,17001,0.009159228060614356,-0.02138263665594864,0.2335391077430848,0.4412681606964296,-0.37618029971547556
0.01,2.0,336,16429,0.03291307404874038,-0.03162699706553629,0.3522637168187272,0.4356321139448536,-0.5483220587021596
0.01,2.0,672,15832,0.045808353615458916,-0.06079725059315505,0.5469450659515053,0.4153612935826175,-0.8566510052045248
0.02,1.0,4,16065,-9.731370937558576e-05,-0.0035942492012779326,0.05136397851514529,0.4485527544351074,-0.08484787825936531
0.02,1.0,12,16055,0.00014388057206360017,-0.0062028047464941505,0.07742861098042941,0.44316412332606664,-0.12761332754564492
0.02,1.0,24,16044,-0.0010354679818868093,-0.010569853518714034,0.09917944362699876,0.43474195961106954,-0.16468154996643475
0.02,1.0,72,16009,0.002920221347193457,-0.014445173998686833,0.1571549413736318,0.43769129864451245,-0.256385431919299
0.02,1.0,168,15824,0.011129169494916623,-0.0246302312342504,0.25110398071054396,0.4381951466127401,-0.4031923986774809
0.02,1.0,336,15350,0.03369468658562312,-0.03932147713726103,0.3748414000470246,0.4300325732899023,-0.5847936234919674
0.02,1.0,672,14802,0.03561647259613565,-0.07697353537597118,0.5650480605336956,0.39724361572760436,-0.896712827284462
0.02,2.0,4,11900,0.00020584006070926582,-0.003977183432629039,0.056001098449104704,0.443781512605042,-0.09219597238031349
0.02,2.0,12,11893,0.0009634594515519186,-0.0063775510204081565,0.08245066096673348,0.44294963423862777,-0.13508013114355832
0.02,2.0,24,11883,-0.000762670538442128,-0.011149825783972056,0.10329315374804938,0.42985778002188,-0.1711963742227236
0.02,2.0,72,11859,0.0020497869575564387,-0.016286644951140072,0.16059925077684417,0.4292942069314445,-0.26293897682423645
0.02,2.0,168,11718,0.009851754830565107,-0.02544499390747601,0.25392453500365275,0.4341184502474825,-0.4091237279254619
0.02,2.0,336,11336,0.0333035490756008,-0.038181573432071736,0.36579566001333635,0.4291637261820748,-0.5702592899464041
0.02,2.0,672,10920,0.03975101751901481,-0.07417884439497574,0.5697636802878048,0.40494505494505495,-0.9003590549558631
0.03,1.0,4,10111,0.00033678473329585727,-0.00545702592087316,0.061540603994968614,0.43843338937790527,-0.10120521185840235
0.03,1.0,12,10106,0.0008373429016805356,-0.009068535723737281,0.09270645504105757,0.4280625371066693,-0.15212830791606446
0.03,1.0,24,10094,-0.0008292222144586298,-0.013839838260843507,0.11322468023434114,0.4223300970873786,-0.1876499446011215
0.03,1.0,72,10077,0.003505950206131474,-0.019521082769390907,0.17734995006027182,0.423340279845192,-0.289121467393317
0.03,1.0,168,9961,0.01209608971759871,-0.028807036833425004,0.2751713509076658,0.4324866981226784,-0.44193663928004984
0.03,1.0,336,9668,0.03368203343438549,-0.047520374359843354,0.40290320495027476,0.42294166321886634,-0.6311082547335678
0.03,1.0,672,9297,0.032300265174112754,-0.08993176574542228,0.6091827909925539,0.3851780144132516,-0.9728513399636011
0.03,2.0,4,8052,0.0010110820981890617,-0.005411254935909882,0.06571130717988179,0.43914555389965226,-0.10741257474861587
0.03,2.0,12,8047,0.0013424466789538072,-0.008666345690900301,0.09576749417243605,0.43171368211755934,-0.15667391870556566
0.03,2.0,24,8039,-0.000979633057173463,-0.014386376981796789,0.11757143243327564,0.4190819753700709,-0.19497249657207827
0.03,2.0,72,8022,0.003256292506252145,-0.019477482859155293,0.17867788883311003,0.4214659685863874,-0.2915622240683794
0.03,2.0,168,7925,0.01094571593183824,-0.030967796898960676,0.27904407004941467,0.4252365930599369,-0.44947699964969595
0.03,2.0,336,7675,0.03392680606422919,-0.04567587365880976,0.3921347227514986,0.42267100977198696,-0.6130954864757434
0.03,2.0,672,7378,0.03660350453377719,-0.08490132623049018,0.6051979871479664,0.39333152615885064,-0.9619731742603673
