date,개인,외국인,기관계,기타법인,금융투자,보험,투신,기타금융,은행,연기금등,영업일수
2025-11-14 (W45),30003,-13586,-16184,-234,-13987,68,-2514,-75,116,208,2
2025-11-21 (W46),20710,-31629,11724,-805,11975,-10,129,11,84,-465,5
2025-11-28 (W47),-13410,-21609,34227,793,33321,-528,3098,-179,366,-1850,5
2025-12-05 (W48),-39790,20172,21806,-2189,16220,42,5023,-305,-125,953,5
2025-12-12 (W49),-15174,10131,3614,1428,4091,-1311,-662,-26,-196,1718,5
2025-12-19 (W50),25964,-31228,3776,1488,12560,-1340,-6828,-58,-317,-242,5
2025-12-26 (W51),-70003,43583,26056,364,29370,-855,-1448,-22,-197,-794,4
2026-01-02 (W00),4857,4878,-9373,-363,-7064,-1248,-143,89,-107,-901,3
2026-01-09 (W01),1757,11043,-19075,6276,702,-4189,-11676,354,-47,-4218,5
2026-01-16 (W02),-40133,-2265,31857,10541,39187,-3624,-2132,78,-108,-1543,5
2026-01-23 (W03),-19638,10164,-317,9793,15362,-3198,-4118,-46,-68,-8249,5
2026-01-30 (W04),58243,-23758,-32875,-1609,-8283,-4592,-12782,245,-2756,-4706,5
2026-02-06 (W05),95859,-110884,6140,8884,-5344,720,8223,613,738,1187,5
2026-02-13 (W06),-96282,34989,54324,6969,49535,-2512,7656,28,434,-818,5
2026-02-20 (W07),-18481,-16816,32691,2606,36042,-2191,128,-24,5,-1268,2
2026-02-27 (W08),59255,-117890,55438,3198,79350,-6118,-11992,-116,233,-5917,5
2026-03-06 (W09),106486,-70048,-43165,6727,-31322,100,-7840,-1201,32,-2935,4
2026-03-13 (W10),69619,-62348,-8115,842,-7257,-467,757,-10,961,-2095,5
2026-03-20 (W11),9149,-32585,22436,1002,32129,-15085,2330,70,820,2172,5
2026-03-27 (W12),117091,-133165,-474,16548,10656,39,-8050,-78,643,-3686,5
2026-04-03 (W13),-13138,-59075,51993,20220,37164,781,14937,-5,875,-1761,5
2026-04-10 (W14),-77422,50314,4482,22625,39547,-303,-293,-31377,1025,-4118,5
2026-04-17 (W15),-29732,-6490,18499,17723,33716,-3475,-7410,-4,-169,-4161,5
2026-04-24 (W16),5968,-17851,13161,-1276,21394,-3372,-5910,-522,-123,1692,5
2026-05-01 (W17),-7559,-13910,22490,-1022,29066,-2486,-2120,-470,219,-1719,4
2026-05-08 (W18),45981,-59561,18663,-5083,43658,-7937,-14697,-449,191,-2105,4
2026-05-15 (W19),111368,-110979,-2569,2181,9886,-5481,-5360,-17,39,-1636,3
