date,외인_일일_억,외인_누적_억,추정_보유비중_%,외인_주간_억
2025-11-14,-23575,-13586,31.95,-13586
2025-11-21,-28229,-45215,31.82,-31629
2025-11-28,-20369,-66824,31.73,-21609
2025-12-05,9934,-46652,31.81,20172
2025-12-12,414,-36521,31.85,10131
2025-12-19,-7573,-67749,31.73,-31228
2025-12-26,17790,-24166,31.9,43583
2026-01-02,6309,-19288,31.92,4878
2026-01-09,-16068,-8245,31.97,11043
2026-01-16,4350,-10510,31.96,-2265
2026-01-23,1438,-346,32.0,10164
2026-01-30,-19729,-24104,31.9,-23758
2026-02-06,-33233,-134988,31.46,-110884
2026-02-13,-9220,-99999,31.6,34989
2026-02-20,-7420,-116815,31.53,-16816
2026-02-27,-70528,-234705,31.06,-117890
2026-03-06,-19418,-304753,30.78,-70048
2026-03-13,-14502,-367101,30.53,-62348
2026-03-20,-12402,-399686,30.4,-32585
2026-03-27,-34286,-532851,29.87,-133165
2026-04-03,8035,-591926,29.63,-59075
2026-04-10,10641,-541612,29.83,50314
2026-04-17,-19974,-548102,29.81,-6490
2026-04-24,-19496,-565953,29.74,-17851
2026-05-01,-14559,-579863,29.68,-13910
2026-05-08,-52967,-639424,29.44,-59561
2026-05-15,-26742,-750403,29.0,-110979
